step,true_value,prediction,lower_bound,upper_bound,width,covered,k_adap,t_adap,n_cal
80,252.68,264.1640017435962,231.26479767399786,301.72322161951683,70.45842394551897,True,0.303,0.404,48
81,231.03,270.2776145809237,236.61125788792336,308.7140464928134,72.10278860489004,False,0.296,0.396,48
82,243.66,235.9657788659238,206.20037469030035,270.00713711287784,63.80676242257749,True,0.299,0.4,48
83,254.98,268.830577328688,234.6146316837473,308.0153609783453,73.40072929459802,True,0.302,0.404,48
84,307.74,266.9102125228334,233.316024724794,305.3208419412675,72.00481721647347,False,0.295,0.396,48
85,493.27,332.9498839090289,290.8969133596204,381.06133692635814,90.16442356673775,False,0.288,0.388,48
86,521.03,528.3454210488261,462.0440549959856,604.1402059093239,142.09615091333825,True,0.291,0.392,49
87,488.52,442.4913047060441,387.35238489966486,505.45894037881317,118.10655547914831,True,0.294,0.396,49
88,529.58,456.2947289501185,401.05282885270384,519.126844331134,118.07401547843011,False,0.287,0.388,48
89,410.36,508.01640708454045,447.8824310580968,576.206156343688,128.3237252855912,False,0.27999999999999997,0.38,49
90,388.18,342.1822671777507,301.05979858205086,388.90315513061944,87.84335654856858,True,0.283,0.384,50
91,399.36,398.39637356298226,350.4824425252815,452.84191047832354,102.35946795304204,True,0.286,0.388,49
92,448.79,379.6150891292923,334.1811935836822,431.2075607047178,97.0263671210356,False,0.27899999999999997,0.38,49
93,467.37,448.8624896313375,395.19996713971506,509.79322655758756,114.5932594178725,True,0.282,0.384,50
94,456.79,440.7092315884913,388.33126379522,500.1337732515559,111.80250945633588,True,0.285,0.388,49
95,484.81,434.6066857697617,382.98532661611426,493.16780156555274,110.18247494943847,True,0.288,0.392,49
96,479.44,471.98504210023725,416.05065079839176,535.4212946851633,119.37064388677152,True,0.291,0.396,49
97,488.7,449.70718738327713,396.47354214799174,510.0704165645075,113.59687441651579,True,0.294,0.4,48
98,594.12,472.3747385697272,416.1470128185961,536.1814641602249,120.03445134162877,False,0.287,0.392,48
99,706.65,599.1221140763304,527.3167656661934,680.6867743148542,153.37000864866081,False,0.27999999999999997,0.384,49
100,868.74,688.5287845944396,605.5771881474562,782.8243080593813,177.2471199119251,False,0.27299999999999996,0.376,49
101,948.11,899.7668456441593,790.7597736128685,1023.7816790556653,233.02190544279688,True,0.27599999999999997,0.38,50
102,946.84,887.8803784799264,777.9328121963165,1013.3472131040286,235.4144009077121,True,0.27899999999999997,0.384,50
103,963.69,911.5571106743419,797.4461237693359,1041.9764206393472,244.53029687001128,True,0.282,0.388,49
