method,station,target,coverage,width
DACP,Swift_Creek,70,0.715,1.0
DACP,Swift_Creek,80,0.812,1.47
DACP,Swift_Creek,90,0.898,2.5
DACP,Swift_Creek,95,0.948,4.23
DACP,Bunchgrass_Meadow,70,0.706,164.4
DACP,Bunchgrass_Meadow,80,0.804,229.39
DACP,Bunchgrass_Meadow,90,0.902,362.34
DACP,Bunchgrass_Meadow,95,0.95,505.53
DACP,Touchet,70,0.709,5.25
DACP,Touchet,80,0.802,8.24
DACP,Touchet,90,0.9,17.94
DACP,Touchet,95,0.95,35.38
DACP,Paradise,70,0.718,2.12
DACP,Paradise,80,0.809,2.82
DACP,Paradise,90,0.898,6.65
DACP,Paradise,95,0.941,12.91
DACP,Easy_Pass,70,0.719,12.58
DACP,Easy_Pass,80,0.81,16.81
DACP,Easy_Pass,90,0.902,27.1
DACP,Easy_Pass,95,0.946,46.43
rolling_split,Swift_Creek,70,0.578,231.88
rolling_split,Swift_Creek,80,0.652,294.81
rolling_split,Swift_Creek,90,0.765,411.34
rolling_split,Swift_Creek,95,0.828,519.21
rolling_split,Bunchgrass_Meadow,70,0.567,214.98
rolling_split,Bunchgrass_Meadow,80,0.666,271.64
rolling_split,Bunchgrass_Meadow,90,0.778,369.22
rolling_split,Bunchgrass_Meadow,95,0.841,465.7
rolling_split,Touchet,70,0.591,218.12
rolling_split,Touchet,80,0.7,270.79
rolling_split,Touchet,90,0.789,362.24
rolling_split,Touchet,95,0.851,470.92
rolling_split,Paradise,70,0.568,212.18
rolling_split,Paradise,80,0.674,260.63
rolling_split,Paradise,90,0.769,333.92
rolling_split,Paradise,95,0.833,398.38
rolling_split,Easy_Pass,70,0.57,209.65
rolling_split,Easy_Pass,80,0.668,263.33
rolling_split,Easy_Pass,90,0.778,359.35
rolling_split,Easy_Pass,95,0.843,440.31
split_conformal,Swift_Creek,70,0.828,1.36
split_conformal,Swift_Creek,80,0.873,1.77
split_conformal,Swift_Creek,90,0.924,2.73
split_conformal,Swift_Creek,95,0.954,4.27
split_conformal,Bunchgrass_Meadow,70,0.799,241.59
split_conformal,Bunchgrass_Meadow,80,0.867,316.85
split_conformal,Bunchgrass_Meadow,90,0.937,450.7
split_conformal,Bunchgrass_Meadow,95,0.972,634.3
split_conformal,Touchet,70,0.783,6.8
split_conformal,Touchet,80,0.845,9.96
split_conformal,Touchet,90,0.925,17.92
split_conformal,Touchet,95,0.962,31.45
split_conformal,Paradise,70,0.828,3.1
split_conformal,Paradise,80,0.865,3.85
split_conformal,Paradise,90,0.907,5.82
split_conformal,Paradise,95,0.934,8.5
split_conformal,Easy_Pass,70,0.797,15.14
split_conformal,Easy_Pass,80,0.85,18.92
split_conformal,Easy_Pass,90,0.91,27.66
split_conformal,Easy_Pass,95,0.95,39.23
