station,target,method,flow_band,coverage,width,n
Swift Creek,70%,DACP,low,0.7570498915401301,0.15199863355808466,461
Swift Creek,70%,DACP,medium,0.7521739130434782,0.4888861343347687,460
Swift Creek,70%,DACP,high,0.6369565217391304,2.370644524426119,460
Swift Creek,80%,DACP,low,0.8264642082429501,0.23232256320819966,461
Swift Creek,80%,DACP,medium,0.8760869565217392,0.6683078988646212,460
Swift Creek,80%,DACP,high,0.7326086956521739,3.51267460055057,460
Swift Creek,90%,DACP,low,0.9067245119305857,0.4669781895887019,461
Swift Creek,90%,DACP,medium,0.9282608695652174,1.0337102433616663,460
Swift Creek,90%,DACP,high,0.8586956521739131,6.005994041505898,460
Swift Creek,95%,DACP,low,0.9544468546637744,0.843169083364412,461
Swift Creek,95%,DACP,medium,0.9652173913043478,1.7617190429110439,460
Swift Creek,95%,DACP,high,0.9239130434782609,10.105788951137647,460
Bunchgrass Meadow,70%,DACP,low,0.648590021691974,99.96824836325476,461
Bunchgrass Meadow,70%,DACP,medium,0.6891304347826087,126.03968891924526,460
Bunchgrass Meadow,70%,DACP,high,0.7804347826086957,267.3299817741987,460
Bunchgrass Meadow,80%,DACP,low,0.7418655097613883,123.77500033062577,461
Bunchgrass Meadow,80%,DACP,medium,0.7869565217391304,172.98159847119854,460
Bunchgrass Meadow,80%,DACP,high,0.8826086956521739,391.6440087553632,460
Bunchgrass Meadow,90%,DACP,low,0.841648590021692,174.56652575942232,461
Bunchgrass Meadow,90%,DACP,medium,0.8956521739130435,246.04409380017287,460
Bunchgrass Meadow,90%,DACP,high,0.967391304347826,666.8029128923494,460
Bunchgrass Meadow,95%,DACP,low,0.913232104121475,228.745243975691,461
Bunchgrass Meadow,95%,DACP,medium,0.9456521739130435,303.0905076586299,460
Bunchgrass Meadow,95%,DACP,high,0.991304347826087,985.3608654868331,460
Touchet,70%,DACP,low,0.7266811279826464,0.5005577399091014,461
Touchet,70%,DACP,medium,0.7521739130434782,2.7747462401915097,460
Touchet,70%,DACP,high,0.6478260869565218,12.498801079551225,460
Touchet,80%,DACP,low,0.8308026030368764,0.7607135137522025,461
Touchet,80%,DACP,medium,0.8391304347826087,4.043039040693054,460
Touchet,80%,DACP,high,0.7347826086956522,19.921438867606565,460
Touchet,90%,DACP,low,0.9045553145336226,1.3815213858232673,461
Touchet,90%,DACP,medium,0.9217391304347826,7.3992857488167845,460
Touchet,90%,DACP,high,0.8739130434782608,45.08372063745446,460
Touchet,95%,DACP,low,0.9674620390455532,2.678640933615867,461
Touchet,95%,DACP,medium,0.9565217391304348,12.435080514892366,460
Touchet,95%,DACP,high,0.9260869565217391,91.09724445340944,460
Paradise,70%,DACP,low,0.8150537634408602,0.22044491500005475,465
Paradise,70%,DACP,medium,0.6864035087719298,0.8121147724843376,456
Paradise,70%,DACP,high,0.65,5.326988354154632,460
Paradise,80%,DACP,low,0.8924731182795699,0.2869881545846369,465
Paradise,80%,DACP,medium,0.7960526315789473,1.2100221434825245,456
Paradise,80%,DACP,high,0.7369565217391304,6.9788842246128,460
Paradise,90%,DACP,low,0.9290322580645162,0.5508835552090927,465
Paradise,90%,DACP,medium,0.9013157894736842,2.932631529900004,456
Paradise,90%,DACP,high,0.8630434782608696,16.503234786098552,460
Paradise,95%,DACP,low,0.9505376344086022,0.9094735807098451,465
Paradise,95%,DACP,medium,0.9539473684210527,5.4654555548721655,456
Paradise,95%,DACP,high,0.9195652173913044,32.41194892391709,460
Easy Pass,70%,DACP,low,0.7939262472885033,3.5954362734595624,461
Easy Pass,70%,DACP,medium,0.741304347826087,9.350859866795062,460
Easy Pass,70%,DACP,high,0.6217391304347826,24.82216090899734,460
Easy Pass,80%,DACP,low,0.8915401301518439,5.473047590830673,461
Easy Pass,80%,DACP,medium,0.8304347826086956,13.20752796012248,460
Easy Pass,80%,DACP,high,0.7065217391304348,31.775726779554372,460
Easy Pass,90%,DACP,low,0.9674620390455532,9.636698589603668,461
Easy Pass,90%,DACP,medium,0.9217391304347826,22.686757147429006,460
Easy Pass,90%,DACP,high,0.8152173913043478,49.00048529259076,460
Easy Pass,95%,DACP,low,0.9848156182212582,16.802585245266506,461
Easy Pass,95%,DACP,medium,0.967391304347826,38.68802279839551,460
Easy Pass,95%,DACP,high,0.8847826086956522,83.87852279686388,460
