station,method,70%,80%,90%
Bunchgrass Meadow,DACP,0.7060101375814627,0.8037653874004345,0.9015206372194062
Bunchgrass Meadow,single_aci,0.7067342505430847,0.8052136133236785,0.9015206372194062
Bunchgrass Meadow,split_conformal,0.7892831281679942,0.8515568428674873,0.9268645908761767
Easy Pass,DACP,0.719044170890659,0.8095582910934106,0.9015206372194062
Easy Pass,single_aci,0.719768283852281,0.8095582910934106,0.9000724112961622
Easy Pass,split_conformal,0.7885590152063722,0.8414192614047792,0.9044170890658942
Paradise,DACP,0.717595944967415,0.8088341781317886,0.8979000724112962
Paradise,single_aci,0.717595944967415,0.8095582910934106,0.8993482983345402
Paradise,split_conformal,0.8160753077480087,0.8631426502534395,0.9073135409123824
Swift Creek,DACP,0.7154236060825488,0.8117306299782766,0.8979000724112962
Swift Creek,single_aci,0.7103548153511948,0.8073859522085446,0.8971759594496741
Swift Creek,split_conformal,0.7871107892831282,0.8428674873280232,0.9109341057204924
Touchet,DACP,0.7089065894279507,0.8015930485155685,0.9000724112961622
Touchet,single_aci,0.7096307023895728,0.8052136133236785,0.8993482983345402
Touchet,split_conformal,0.7624909485879797,0.833454018826937,0.9087617668356264
