,,AvgWidth,AvgWidth,AvgWidth,CalibrationError,CalibrationError,CalibrationError,Coverage,Coverage,Coverage,IntervalScore,IntervalScore,IntervalScore
method,,DACP,single_aci,split_conformal,DACP,single_aci,split_conformal,DACP,single_aci,split_conformal,DACP,single_aci,split_conformal
station,target,,,,,,,,,,,,
Bunchgrass Meadow,70%,164.39928386274053,181.70876366765384,225.78916586818357,0.0060101375814627,0.0067342505430847,0.0892831281679942,0.7060101375814627,0.7067342505430847,0.7892831281679942,239.87779684548565,256.569384154274,278.36925923596345
Bunchgrass Meadow,80%,229.39033633355317,240.33670933798464,307.0476525098504,0.0037653874004344,0.0052136133236784,0.0515568428674872,0.8037653874004345,0.8052136133236785,0.8515568428674873,299.19333457970004,311.327393120004,359.0056301992414
Bunchgrass Meadow,90%,362.3351132901187,365.2634217403084,447.94198462661495,0.0015206372194062,0.0015206372194062,0.0268645908761766,0.9015206372194062,0.9015206372194062,0.9268645908761768,425.0469627769121,427.67288424582654,496.4829962829966
Bunchgrass Meadow,95%,505.5316358578613,498.6107803975327,642.3453512589896,3.620564808115567e-05,3.620564808115567e-05,0.0152425778421434,0.9500362056480812,0.9500362056480812,0.9652425778421434,562.8741775398455,558.6032121435302,695.3820170217014
Easy Pass,70%,12.582972975329008,12.014619731676463,15.482508568848557,0.019044170890659,0.019768283852281,0.0885590152063722,0.719044170890659,0.719768283852281,0.7885590152063722,32.4295831848867,32.378454665952674,32.81365413679793
Easy Pass,80%,16.810551860698254,16.625683608154812,20.032907816559987,0.0095582910934105,0.0095582910934105,0.0414192614047791,0.8095582910934106,0.8095582910934106,0.8414192614047792,41.389331483152645,41.70175588575536,41.53873091675065
Easy Pass,90%,27.095329161633877,26.97394692439794,31.67901362653483,0.0015206372194062,7.241129616220032e-05,0.0044170890658942,0.9015206372194062,0.9000724112961622,0.9044170890658942,61.02976830614679,61.20933866058511,61.78270044848736
Easy Pass,95%,46.434904251909614,46.26232887066888,47.92752749569811,0.0043084721216509,0.0035843591600289,0.0072049239681389,0.945691527878349,0.946415640839971,0.942795076031861,89.5113891933756,89.63289397294227,92.87226105823645
Paradise,70%,2.1167602205930587,2.1449785222557285,3.212645506956874,0.017595944967415,0.017595944967415,0.1160753077480087,0.717595944967415,0.717595944967415,0.8160753077480087,7.825168253855253,7.832524277959226,7.687633248255207
Paradise,80%,2.820786627539302,2.91806724593261,4.060050000192894,0.0088341781317885,0.0095582910934105,0.0631426502534394,0.8088341781317886,0.8095582910934106,0.8631426502534395,10.256527609995905,10.249594290479072,9.949631855130567
Paradise,90%,6.6509260191252455,6.210848665751656,6.441673773478192,0.0020999275887038,0.0006517016654598,0.0073135409123823,0.8979000724112962,0.8993482983345402,0.9073135409123824,14.957908488914844,15.339775305615776,14.813394006334075
Paradise,95%,12.907059705324867,14.17026313983856,9.702250860527329,0.0086531498913829,0.0093772628530049,0.0173425054308471,0.941346850108617,0.940622737146995,0.9326574945691528,22.740624882438887,23.61604180493473,21.306471249098188
Swift Creek,70%,1.0032262658220747,0.9355412900242897,1.358735198619069,0.0154236060825488,0.0103548153511948,0.0871107892831282,0.7154236060825488,0.7103548153511948,0.7871107892831282,3.347568417206784,3.3083171191399403,3.2968687594165216
Swift Creek,80%,1.4702046715206136,1.383240503092449,1.7767578119654643,0.0117306299782765,0.0073859522085445,0.0428674873280231,0.8117306299782766,0.8073859522085446,0.8428674873280232,4.278162151380658,4.345752298309907,4.172659803592221
Swift Creek,90%,2.5007537410857865,2.560483769478723,2.894411353726864,0.0020999275887038,0.0028240405503259,0.0109341057204923,0.8979000724112962,0.8971759594496741,0.9109341057204924,6.4189976118254055,6.418487230491191,6.287242615880011
Swift Creek,95%,4.234434920125556,4.402282308070093,5.14280066094167,0.0021361332367848,0.0043084721216509,0.0035843591600289,0.9478638667632152,0.945691527878349,0.946415640839971,10.36488441497568,10.452925863671323,10.565900587566649
Touchet,70%,5.254590068920894,5.001928992356672,6.583357981478759,0.0089065894279507,0.0096307023895728,0.0624909485879797,0.7089065894279507,0.7096307023895728,0.7624909485879797,30.697853623818062,30.979279428779503,30.426665914565355
Touchet,80%,8.236313372670232,7.995414979123663,10.350218578628922,0.0015930485155684,0.0052136133236784,0.0334540188269369,0.8015930485155685,0.8052136133236785,0.833454018826937,41.88118872487425,42.295153237878914,42.13730028786005
Touchet,90%,17.942841633996597,18.78236749087309,21.258845995822004,7.241129616220032e-05,0.0006517016654598,0.0087617668356263,0.9000724112961622,0.8993482983345402,0.9087617668356264,64.97750798282706,62.53250328907415,62.31855702508987
Touchet,95%,35.37995869356679,38.36495168790314,55.3588445081706,3.620564808115567e-05,0.0006879073135408,0.0101737871107893,0.9500362056480812,0.9493120926864592,0.9601737871107892,75.19173107804104,81.86041862072712,86.32439239412214
