step,true_value,prediction,lower_bound,upper_bound
80,168.78999999999994,184.5281354918363,168.78999999999994,201.72506660626175
81,199.45999999999995,156.34357389818007,142.99630191587585,170.928028134468
82,152.32999999999996,171.76809341151335,154.22588465155016,191.29276204837734
83,161.87999999999997,149.73702503144108,132.69623692769682,168.94981487487343
84,186.6699999999999,154.5441332761032,135.95944681495448,175.6506652827137
85,230.82999999999998,167.60932950994462,145.88210839234395,192.55050325023052
86,186.00000000000003,189.32531944407188,162.2277379482913,220.921394468894
87,175.38,177.0067986383717,149.89390324144088,208.99138918675396
88,213.75000000000006,170.16455084368806,142.898114990812,202.59754863635376
89,238.79000000000002,186.78700027155102,155.4707442901673,224.37093199730825
90,253.8299999999999,205.20426222163152,169.2721837779068,248.71899000149227
91,239.32999999999993,217.86593687311503,178.3579065062268,266.0765914726114
92,157.49999999999994,214.13963590278203,174.2485369574408,263.11098055341813
93,248.42000000000002,165.9408950294942,134.20445182997446,205.12681058975346
94,169.12000000000003,206.77720964127954,165.81901669467666,257.7916515856904
95,111.46000000000004,182.39995313629572,145.42968244826312,228.7044031511825
96,217.57999999999998,137.119396299002,107.95481112891623,174.09064020521996
97,198.29000000000005,175.74609042112994,136.78993548279627,225.7159816114044
98,201.95999999999992,186.6711012200208,143.90305377362813,242.06211163884586
99,153.61999999999998,190.26734466268744,145.53098108543304,248.6618589688272
100,194.99999999999991,175.05941565979697,133.03956507411954,230.25200253618306
101,232.79000000000002,182.41226776132905,137.95123048411082,241.0997629754724
102,161.87999999999997,198.72320349754443,149.9522294103534,263.2515328931316
103,173.49999999999994,185.9858506679893,140.30123709079515,246.44092174907968
104,275.5,195.66797399702193,147.86887688306635,258.8144945130093
105,159.32999999999996,204.2297028890059,153.66012744704028,271.3341280210206
106,227.45999999999992,184.56337753751745,138.3657382021759,246.07483723997257
107,159.45999999999998,207.3105259604811,155.27363040404884,276.6749673872554
108,171.71000000000004,203.0285570302803,152.05460497771764,270.9790893578058
109,263.2900000000001,205.33672423283275,153.9873274684191,273.698870304808
110,265.67,188.9319511670246,142.0137099548909,251.2425723064694
111,138.62000000000006,175.7276599345876,131.63665148702856,234.47537905847759
112,226.67000000000007,190.25750633378735,142.33438442501665,254.2034801402082
113,260.3799999999999,184.26194885052792,137.85626205173955,246.17639078536354
114,262.16999999999996,173.43595906757594,129.30434161509402,232.51412116187205
115,220.2899999999999,175.18683030267542,130.0032388273524,235.9544405922159
116,154.04000000000002,192.3591291499908,142.2959045585138,259.91291960389424
117,228.3300000000001,187.8642279723834,138.62498552756918,254.46786252351208
118,235.25000000000003,195.5991460813357,144.09941207857074,265.3775385869992
119,262.46000000000004,194.4276678648113,143.08473910620552,264.0660549062557
120,223.82999999999998,194.88062919012458,143.34676479863901,264.8128219599754
121,111.08000000000004,198.14377570667372,145.7460067868707,269.25092042407914
122,121.38000000000004,218.64907074621,160.6008695258403,297.5486057174895
123,259.33000000000004,191.8320025390567,140.35954938174086,262.04682892562886
124,252.00000000000003,206.34064541920108,150.6247471966721,282.5298593249324
125,297.95999999999987,193.0157393913388,140.67522542392246,264.69293974253213
126,314.29,187.0307670234771,135.79206470634077,257.4621368449765
127,271.1700000000001,213.3158493985507,154.39420390619247,294.57912810666875
128,306.03999999999996,217.8753079851685,157.25633915268278,301.71394310077625
129,325.61999999999995,231.2482732955953,166.52633403472518,320.97481524071856
130,315.92000000000013,235.87813871552947,169.50227165728242,328.0938710430784
131,292.42000000000013,239.13446579685038,171.53336487544198,333.22266878738975
132,276.66999999999996,236.16747298434123,169.1394862236821,329.6017403145824
133,158.99999999999994,237.9121613573541,170.1669588842094,332.46985432541965
134,286.2899999999999,188.36234472586773,134.47491280700427,263.68441172692485
135,192.0,246.49019811253703,174.9132936777597,347.19084380276547
136,148.61999999999998,210.47267325575217,148.48375591124412,298.16756681232306
137,299.95999999999987,208.56754234418338,146.42674720994458,296.90086015828876
138,301.24999999999994,225.44647826362677,157.4996342278947,322.5212987575126
139,136.88,262.4338688878194,182.60020822383385,376.9810706565206
140,177.88,175.74897894191304,121.44413123438443,254.13841490049325
141,208.88000000000002,248.88992367952093,171.22745379686762,361.5727059183436
142,242.42000000000002,207.73236952976248,142.57825283154207,302.4526554702425
143,119.24999999999997,244.21100602892184,167.38843504586583,356.0817524453986
144,137.12000000000003,167.95341559250087,114.85684620286894,245.38385711267065
145,211.87999999999997,213.72362175166953,146.72324413566992,311.1122475201655
146,341.5799999999998,219.07091168119905,150.82168213043838,318.0005899591087
147,346.71,268.73811141150435,184.6932277018677,390.8217678065236
148,278.49999999999994,248.5629911318252,170.49605800763476,362.1668696425126
149,334.0400000000001,239.47876540492447,164.00149118242905,349.4819028983115
150,349.3799999999999,274.7391107670806,187.9496560453047,401.393202496172
151,340.16999999999996,267.05072821100754,182.47877671972088,390.60492662434797
152,330.78999999999996,272.6773004784006,186.15462547721947,399.19991280558287
153,320.75000000000006,271.64675137829124,185.30139923958237,398.0106963262247
154,362.2500000000001,269.47672666403736,183.69349204291572,395.10307248884186
155,239.88,300.334722535202,204.64629281733963,440.54754146733114
156,215.79000000000008,231.59147555419207,157.65472644393864,339.98444914335647
157,211.96000000000006,241.69190668331038,164.47557585851084,354.93990994744917
158,184.79000000000005,233.81621957794127,159.04907850200533,343.51093060298416
159,280.9600000000001,216.3056983035137,147.06953339163042,317.91615671051284
160,174.53999999999996,279.400109547724,190.01252820759515,410.6181392506659
161,342.96,199.80251211165236,135.3135836212327,294.80066636931736
162,325.54000000000013,265.77092399785846,179.35764089712248,393.58669750102405
163,324.8300000000001,257.5691513544922,173.31463016198504,382.5478752991259
164,336.42000000000013,276.60595017659017,185.69505446086848,411.78577944120315
165,355.4200000000001,277.7117480799212,186.0527922699727,414.28510521056444
166,348.9999999999999,293.9974843223218,196.6361469665484,439.32185960004546
167,301.6699999999999,296.5914867341566,198.07734629101193,443.85570370818283
168,251.50000000000006,276.428288753752,184.3541719781978,414.239940808499
169,185.45999999999998,256.93010697584566,171.14182430549235,385.4716802728142
170,164.38000000000002,216.8508082182679,144.80894034776517,324.48741200751726
171,184.88,187.02301407768442,125.71549876406547,277.99234243382523
172,132.32999999999998,206.82411678501438,139.88324847079036,305.57203028950715
173,166.71,164.27738382694722,111.09870643331114,242.68357560781504
174,218.88000000000002,191.2030885222094,130.00170653784292,280.9965343489987
175,304.9199999999999,222.12723176741417,151.97922221491535,324.44133010590826
176,262.99999999999994,285.2395777652583,196.2369789037152,414.4043340890475
177,173.83000000000007,264.3327516454912,182.61218126877668,382.4248284034721
178,187.20999999999992,205.09792974116212,141.891093406753,296.2638506073996
179,264.1200000000001,206.59404998051582,143.15980887022167,297.94108437747013
180,361.6699999999999,257.378836008262,178.67155836622277,370.5647791116102
181,333.83000000000004,321.2479055537755,223.34512483983482,461.8748349576638
182,148.71000000000006,305.0515292338532,212.67465474187298,437.3652270763419
183,224.91999999999996,182.09354529618602,127.13820220091947,260.6178918802247
184,111.25000000000001,239.96610962338698,167.98634916733573,342.6056597064693
185,159.29,165.12049052638045,115.53398656620975,235.8066019696868
186,140.42000000000004,189.97898982721475,133.34343940657945,270.4905522482636
187,150.61999999999995,173.15897337066423,121.79989009476459,245.99816898954109
188,334.16999999999996,174.6991879700304,123.27028183021999,247.4118020710972
189,320.9599999999999,263.5525045771912,186.40262027742398,372.4634423705339
190,152.49999999999994,271.154328008684,192.03912543554864,382.6941246327184
191,226.03999999999996,188.13313502779812,132.30062329123086,267.3509040110882
192,276.16999999999996,229.3229903880868,161.66647192046483,325.1193242529332
193,240.17,254.3309880547054,179.64504391191045,359.8951125876622
194,223.24999999999991,231.54971011224282,163.77291721849744,327.205439256599
195,167.83000000000007,223.8166826543115,158.67108789862002,315.5415947549653
196,200.53999999999996,193.43637596054208,137.37219483352206,272.21604851432556
197,154.38000000000002,216.03623464234823,153.71986809467472,303.45170182606773
198,224.04000000000008,186.77542301850994,133.0241896709253,262.08392221101735
199,191.17000000000004,219.39128728759297,156.4671159595826,307.4600820704019
200,353.49999999999994,198.31694411389407,141.53549586457567,277.71825168831214
201,355.33000000000004,239.64483143052198,171.04314671164738,335.6012305697023
202,350.4199999999999,243.29382531540836,172.72250977963887,342.53333464348776
203,303.0400000000001,254.01289649678577,179.25882789827858,359.7677811839439
204,134.96000000000004,244.11721684987083,171.3813947231619,347.5437050368271
205,339.16999999999985,183.6325011217315,127.77244686431692,263.72402521313245
206,349.3299999999999,247.0091480423618,170.09434531858807,358.50070353386315
207,152.32999999999996,249.87778115339495,170.47284062403818,366.05323622910487
208,318.24999999999994,213.5627911505828,143.94569122159024,316.61683261041424
209,338.67000000000013,249.10286340797475,166.91995477922404,371.50749839177115
210,293.91999999999996,223.36888133592873,149.39672855414244,333.7240022831567
211,286.12000000000006,255.28803419283525,170.55461310929235,381.87257497752535
212,302.8800000000001,219.8869304332225,146.6837288200283,329.3751633713789
213,152.88000000000002,249.55364371669964,166.35112131581934,374.12224528955494
214,315.4600000000001,218.15436504706827,144.73008673405096,328.57254603734066
215,330.54,278.70990820578874,184.2966058137951,421.22917362615857
216,325.70999999999987,215.2624993874092,141.80626786442025,326.50291244703584
217,326.75,265.9336997187716,174.7862613409653,404.3422577054739
218,325.54000000000013,240.73894533355144,157.82589020195022,366.93571637894223
219,318.37999999999994,266.61519779718935,174.48080869403563,407.12379783877174
220,159.70999999999998,256.6716018075065,167.67781360093602,392.61818226506665
221,138.74999999999997,253.08597926517163,164.67263228147556,388.68225451657696
222,78.28999999999998,234.6375473169327,151.41158029456986,363.3099402173048
223,181.96000000000006,157.8355283022285,100.89592941974158,246.593060828985
224,263.32999999999987,213.2715907929732,135.50360814135217,335.3450625671979
225,291.38000000000005,248.59650282348977,157.06759082561237,393.1251580815633
226,292.88000000000005,256.91122293406676,161.5120840050341,408.31232481939844
227,124.24999999999994,258.07425216599876,161.5470494978386,411.92332492484894
228,99.46000000000002,208.50583501797408,128.98822495049458,336.66669960525195
229,274.9999999999999,191.87076746217096,116.93405232371175,314.4231725993832
230,272.71,288.24243505353905,173.68274440528236,477.9321722676739
231,280.0799999999999,212.19798280831037,127.05872315231568,353.941692019445
