step,true_value,prediction,lower_bound,upper_bound
80,185.67,200.89389426465414,185.67,217.35937505409194
81,166.33000000000007,184.9917751654737,170.96698689969895,200.1603567223093
82,141.46000000000004,167.27591284350652,153.98213575094127,181.70997948318973
83,127.92000000000002,148.54633858049047,135.12669542537793,163.28891712199297
84,217.32999999999993,134.3727573389459,120.94148142321677,149.28342460386108
85,152.58000000000007,168.61472561110028,144.81795055003383,196.29501776434182
86,181.38,160.49713827110898,132.8134801702851,193.9080588634849
87,159.49999999999997,167.70162665153725,137.32700676703786,204.74607591130567
88,214.82999999999996,163.0005818398729,132.07172069400517,201.11800601619873
89,202.78999999999994,184.7848436855637,142.87253940315088,238.90685287447855
90,226.9199999999999,186.21401692889708,140.16020407871176,247.29298288000342
91,192.87999999999994,198.16647599511248,147.07114184323981,266.89342384018846
92,155.96000000000004,184.24593441939413,135.2898361568027,250.78734663260977
93,173.21000000000004,166.43071969228305,121.27954221705384,228.25376876955795
94,132.99999999999997,174.17713281459532,126.33322434190801,239.99780728667707
95,115.88,153.80361964047052,111.24360709220933,212.50134118644863
96,168.96,130.76514625347045,94.41354766725786,180.96633697917125
97,164.58000000000007,172.4434974057032,124.63878284793506,238.43758535716026
98,229.12000000000003,168.77467338276472,122.20063126294069,232.95529249122166
99,150.25000000000003,199.77995967001797,144.6815851301022,275.717144236813
100,177.08,169.59700062869408,122.92946310687267,233.83791419647233
101,234.03999999999994,175.99395645832095,127.8750712981911,242.07928839306658
102,152.29000000000005,197.85311133042083,144.09946666281,271.5203668575839
103,196.42000000000002,173.63758215392474,126.67985308457632,237.86528973656056
104,264.71,184.208476253557,134.65500192076482,251.86336066103968
105,163.49999999999997,206.36981361035686,150.01919770878752,283.7468417870685
106,202.29000000000002,183.40852934653572,132.70188668459554,253.34574289870645
107,110.58,188.0529176764823,135.61057863086543,260.6269255294375
108,208.37999999999997,166.39901885097652,117.94610754513313,234.58931091239538
109,219.17,171.21377263438347,119.73644748444426,244.6390270120232
110,251.83000000000004,177.9873954295828,123.17135836289695,257.0022329226488
111,189.87999999999994,181.27100873698032,124.43306793718793,263.8641317027582
112,227.83,179.54429061556553,122.50388363281772,262.9288734497434
113,300.04000000000013,169.53981781829808,115.17052701272708,249.35463132840928
114,291.54000000000013,200.28753256304853,133.84502053604797,299.46842370785987
115,278.87999999999994,219.06911194832935,144.40302170783707,332.0770809635517
116,224.7100000000001,233.85337097887748,152.4152771052346,358.52159980982947
117,271.38,218.56920632089833,141.10282227835643,338.2658610956536
118,244.54000000000002,233.0663867278058,149.34759166588944,363.40273361718715
119,281.87999999999994,230.88026438858478,147.04680988647834,362.185515811853
120,326.6200000000001,244.20689511198228,154.81157669111607,384.8918745790916
121,157.91999999999993,266.7040265264022,168.48238620681744,421.8489309266399
122,279.67,216.009587451762,135.1126195867872,344.98673649034225
123,313.37999999999994,234.47565648065452,145.57656092365187,377.2923029820377
124,293.2500000000001,252.24578832938144,155.6738926207234,408.3434345301183
125,311.2099999999999,259.94351838931715,159.64903826256298,422.852645031761
126,323.71000000000004,271.9971625847181,166.42761378388423,444.1323715065733
127,263.7900000000001,281.24939522625976,171.5958776209031,460.5679250495678
128,307.8799999999999,271.2758408329731,165.13739267485016,445.2218427033548
129,336.92,277.1002975866323,168.3797500262328,455.60579559124034
130,327.88000000000005,288.3858383394076,174.97816992886197,474.87813570998486
131,326.42,297.86065213973654,180.49870384736067,491.1119958658451
132,307.12,301.3766464472919,182.4268085630931,497.463867048425
133,193.46000000000004,298.56015639819765,181.53899032549415,490.6006555163885
134,218.95999999999995,258.85834091492393,157.4689756936739,425.1172071534535
135,145.54000000000005,240.3100514600047,146.25450720131312,394.4414845585851
136,204.57999999999998,200.89562517543655,121.84066589607474,330.82694971277317
137,294.2900000000001,205.36243821075277,124.24478826609649,339.01778831554424
138,179.16999999999993,255.5841605733305,154.39446672674796,422.6665104227191
139,169.71000000000006,218.46056788398113,131.67142589562673,362.0242196526139
140,166.75,212.42198823633282,127.82287038223092,352.57809469390725
141,224.88000000000005,200.74380097285234,120.61495529175224,333.667402815171
142,298.16999999999996,222.90927298625738,133.82700718607435,370.849554296215
143,218.32999999999998,267.83891632089717,160.7287669183921,445.8862547196925
144,158.49999999999994,242.60314330591297,145.42991256555743,404.2620833325515
145,205.45999999999995,214.38269040562392,128.37838400716257,357.5583765198107
146,219.8799999999999,217.80988276695248,130.36094568696763,363.4748790906235
147,300.5800000000001,223.5101965485042,133.71673536466716,373.1541703620285
148,294.7900000000001,265.98861035137634,159.13875198184044,444.13221924848307
149,279.46,264.73251493243254,158.32865632518693,442.195663109052
150,331.96000000000015,259.2812879812873,155.01300803950883,433.2352584858928
151,357.66999999999996,283.29929797274514,169.36564347137585,473.42717428749535
152,334.54,297.9948353760805,178.13276503881085,498.0595191348751
153,320.0,287.3555840158579,171.72653236180892,480.3906797998761
154,362.08,293.09446800786174,175.1363479328085,490.04887848487436
155,229.46000000000006,323.8147680800587,193.50896623096776,541.4152706545252
156,220.37999999999994,234.71122322168833,140.9437728468192,390.42105101449414
157,255.58000000000015,236.3112741564592,142.58922264700115,391.2066002140747
158,244.08,258.96158933208187,156.9319284753325,426.9060515532003
159,347.0400000000001,245.39757665478,149.20724364421434,403.18667108459834
160,323.7899999999999,310.9032682074969,189.69706375710797,509.1475964120169
161,353.49999999999994,287.58627089668056,175.88008472602078,469.83896346528996
162,325.21,309.33385941641137,190.9418981372876,500.75133847744246
163,355.4200000000001,290.2857198435757,180.55431096615538,466.3387821708456
164,264.88,311.74549896493164,195.21092086353326,497.4928804796333
165,367.96,256.60278804016644,161.5177095856255,407.31978604217494
166,342.12000000000006,320.76709981129295,202.9609809898505,506.61702566101417
167,310.21000000000004,306.70021300899106,194.8304747120634,482.4764416773694
168,195.38000000000002,295.96451764562534,188.64526829322236,464.01515979901006
169,227.66999999999996,216.21511478880944,138.12004733605397,338.14886456833455
170,258.3299999999999,240.1374505858791,154.0342277856276,374.060855306481
171,160.61999999999995,262.58061312159066,169.01614019235714,407.63614204480575
172,190.17,196.23892611672613,126.40329396893674,304.35469502982136
173,198.83000000000004,216.21789741807333,139.4763683042065,334.8829355308422
174,288.50000000000006,223.6590599077999,144.43645998972124,346.03604035895484
175,304.9199999999999,273.97555493908374,177.16356059288273,423.39405433098176
176,230.2500000000001,288.90110597116006,186.9722722071123,446.10132114965126
177,193.08,249.4507240662256,161.4940506590392,385.0176106811046
178,263.5399999999999,225.65336901652287,146.13226421614254,348.1535317574747
179,327.75000000000006,268.5116575809391,174.03273373920783,413.9882825931922
180,347.7099999999999,303.6142677181521,196.90581086156834,467.8586539905638
181,322.3299999999999,312.0517207519715,202.45388937605372,480.6884069718109
182,135.74999999999997,300.7307623647095,195.41751311148664,462.509854671226
183,339.4999999999999,188.3070414982252,121.55374525222285,291.41991656032843
