step,true_value,prediction,lower_bound,upper_bound
80,165.71,161.5672992317695,157.527543515756,165.71
81,179.42,155.98652264104052,152.08544779281982,159.98700853838992
82,138.74999999999997,169.04326210599797,162.84534722320302,175.47563069495789
83,113.91999999999999,138.7622950734143,131.17004615112864,146.79066583553072
84,236.46000000000006,117.93008930910095,109.41831499000814,127.0980075121656
85,113.78999999999996,233.74788286395122,212.9042370863116,256.62261308957403
86,191.45999999999995,124.66809418133256,111.3857025324936,139.52027561603987
87,168.20999999999995,170.0496910854314,148.79403460157457,194.32150861843436
88,180.78999999999994,166.27857765093472,142.44940113739625,194.06615098461398
89,238.00000000000009,170.71873774348043,143.64618155676092,202.85830151100828
90,216.17,190.46613452012895,157.4207733268873,230.40450521875007
91,183.96000000000004,186.66909090043725,146.35705148496336,238.00917753495142
92,130.07999999999996,177.52742112090752,134.68968494814462,233.88918928702742
93,138.92,157.04191370893173,118.34326615881437,208.28911444021736
94,137.74999999999997,160.32818313797344,120.27340902678108,213.61244376211064
95,129.11999999999995,157.85142322255277,118.39378039594571,210.34915551000887
96,145.75000000000003,147.7451967232644,111.32431743505872,195.9754551238156
97,148.99999999999997,156.77851571513924,119.21298373208792,206.082956003758
98,208.37999999999997,161.53790447893692,124.19793724996278,210.01442222373257
99,161.91999999999993,180.24271892209927,139.21989463319716,233.26720757567932
100,162.5,172.29415376989226,133.89739222497883,221.62004650718723
101,235.03999999999996,169.30367729150262,132.5868358966866,216.11227984648778
102,179.50000000000009,186.13943846333098,145.91865369787058,237.3711567381347
103,191.67,180.738493772101,142.128042710993,229.76456222659718
104,254.28999999999996,182.6476712395461,144.3699033760066,231.004468383481
105,166.75,199.69898491864134,157.65867180825805,252.87885886283132
106,266.38000000000005,181.71923843839608,143.63321812441143,229.834385962352
107,199.83000000000007,201.49862889738276,158.5550573433906,256.0002818341788
108,179.96000000000006,193.4604384565646,152.0028062294288,246.15142850396933
109,291.9599999999999,183.54708735534376,144.37778202961178,233.26982428720598
110,284.83,201.79624876755898,158.0034674428086,257.650450682695
111,211.53999999999996,221.02743759441105,171.37570212414994,284.9810427877797
112,183.49999999999997,211.03450214824375,162.65478556347415,273.7162568235208
113,297.70999999999987,196.2975078562375,150.90325827501027,255.2572195509377
114,213.20999999999998,220.2004814977863,168.05404369516825,288.4320179828444
115,120.25,213.28931520129237,162.0626335037103,280.60903342943976
116,131.53999999999996,179.93557690047712,135.76660244264616,238.36898631401766
117,127.88000000000005,156.3289011971173,117.31017512872737,208.2160131194166
118,95.5,153.1283285337721,114.4523016235009,204.7606589263425
119,110.07999999999997,126.39810819664946,93.9808220830964,169.8795272153544
120,115.53999999999995,126.91546588740309,94.05001810332544,171.14480059755954
121,113.12,128.99372007161082,95.3874734987293,174.3170473783514
122,188.79000000000005,125.81193876509651,92.86689783771034,170.31990279646863
123,146.75000000000003,161.54065896278394,119.01619825982974,219.13250043847466
124,166.92,153.81512786560373,113.14956180873826,208.96772511665023
125,150.37999999999994,162.354551247661,119.33630401522468,220.75111352886998
126,161.67,157.75597751725581,115.87046955799327,214.65294032598212
127,144.71000000000006,161.43156852094512,118.52077630096346,219.74835245160472
128,160.00000000000003,155.79203232006157,114.42996290630356,211.97539027202384
129,151.37999999999994,160.52234207503884,117.96399210779526,218.30557748739434
130,154.28999999999994,159.0364758188936,116.91308742641507,216.2080652922819
131,236.3799999999999,158.5917475897306,116.62226877842076,215.53659773154263
132,197.92000000000004,191.81972133923222,140.98657438864186,260.8518342133713
133,119.70999999999994,192.96000496192892,141.88320624440223,262.29534809347376
134,151.96000000000006,152.73532976135996,112.28955704782804,207.6207434534868
135,99.46000000000002,156.3469443360618,115.95397861388197,210.6906255377023
136,80.17000000000002,129.08587974995007,95.59416374966969,174.19004723902214
137,233.74999999999997,102.71601144634715,75.85940239985598,138.95699542882434
138,121.29000000000002,240.3712282684056,177.56551657073484,325.2671928749485
139,76.29000000000002,146.21035008299137,107.52209197409672,198.69101937999434
140,155.96000000000004,139.73403616725625,102.37226405018433,190.59944998700325
141,186.7899999999999,166.3149215707271,121.51827452226114,227.49067283535814
142,210.61999999999992,159.0426141692015,115.88639111163997,218.13276735225676
143,115.95999999999994,168.45195313325158,122.48314742797203,231.53346726866192
144,101.04000000000002,120.46456346476751,87.17781793094034,166.3169117117571
145,187.5,145.77721043955762,105.20983377400873,201.8394993090578
146,126.83000000000003,143.16884454558505,103.0361833529562,198.78295115935228
147,176.83,126.08931069547948,90.49721552757777,175.52660575429104
148,236.11999999999992,163.0120825310699,116.83382161622282,227.2872849850354
149,214.82999999999996,148.50739717400066,105.84384239642978,208.20683221788823
150,265.17,167.0423316592028,118.50560925837472,235.2920485883606
151,256.96000000000004,168.78361194102723,119.20770103147117,238.80555851570904
152,258.5799999999999,179.94597282807243,126.45101581944519,255.89434385584678
153,270.04000000000013,178.93527199110832,125.1841661670982,255.58292232671715
154,272.71,204.99736943636418,142.58472142802933,294.53921749238526
155,174.53999999999996,227.03734681391714,157.1509716126656,327.8062729661169
156,178.79000000000008,153.45681651103968,105.66437538445757,222.66331852350817
157,127.75,181.70402221888628,124.71436011092551,264.5286134814304
158,104.33,155.54794690732683,106.7707760428458,226.40171854340187
159,249.75000000000003,159.2796035164002,109.00333335815104,232.53429863560487
160,262.58,228.59368357723997,156.08995156907366,334.56098917878506
161,272.67,171.19944425276708,116.51193205712232,251.3373421053765
162,281.95999999999987,239.86781649992838,163.0066604733885,352.7496883235238
163,291.50000000000006,183.46666875391827,124.3655557149746,270.4298332353123
164,287.0800000000001,230.5698348263042,156.1242740016954,340.2877401801277
165,342.78999999999996,239.24351654151556,161.78665581510606,353.5557647291967
166,327.42000000000013,264.6825957112764,178.81469631048742,391.55546466568006
167,326.87999999999994,276.070951145575,186.4285560263411,408.58706397932576
168,346.8799999999999,280.5223753234739,189.35880273525473,415.3445381509157
169,210.61999999999992,285.02164854087334,192.33119805164975,422.15148438785974
170,126.41999999999996,208.66571494821127,140.67623199786502,309.2828992897484
171,210.07999999999998,138.5147640088326,93.2489038359008,205.52090989121922
172,291.38000000000005,255.74116060750032,172.31782887827748,379.318770300196
173,272.53999999999996,231.32997314875433,155.74397022451979,343.3655047526488
174,262.88000000000005,240.68711563983857,161.97323306262047,357.4187462481054
175,219.5,242.3419369866244,163.01756025691475,360.0302348336866
176,185.67,214.9823001853017,144.52263924917676,319.55736642776475
177,114.42000000000002,201.99527966470885,135.7292720115085,300.3771883659627
178,188.08000000000007,132.30163726527832,88.60853967730203,197.29947638466908
179,278.38,241.25974796037127,161.57837487761734,359.9938008422215
180,314.95999999999987,248.337088790359,166.09018434820297,371.0684377060476
181,310.83,279.7293985842449,186.9001406670993,418.4195648267071
182,141.58000000000004,265.08206156909245,177.3039328375692,396.0729212874691
183,178.11999999999995,152.77721676013624,101.92367563230033,228.75697524615708
184,278.38,258.67577947421074,173.00560534304415,386.5249323870962
185,293.0799999999999,240.64565012747966,161.64974157072075,358.00837998038236
186,175.57999999999996,265.2883188857172,178.97457183920176,392.99715221067714
187,258.12,174.18586485542295,117.81602977965329,257.2992151989753
188,180.46000000000004,278.831516835865,189.35399766002456,410.3687066058694
189,223.6200000000001,183.1272281663864,124.52954500374705,269.07853928909344
190,108.57999999999996,245.53674162646792,167.39444870410935,359.9404314663288
191,182.96000000000006,162.44357601580268,110.50174531977063,238.5819228140529
192,296.2499999999999,226.32339132463792,153.92418728444505,332.5562067429539
193,300.1199999999999,257.957622066601,175.33190338075954,379.30015408831406
194,343.21000000000015,252.3816002237341,171.4091473290518,371.38299896818654
195,105.29,272.7353766566981,185.14301103722985,401.5456342188302
196,180.70999999999995,168.26832277661862,113.92942510477396,248.29877678835967
197,74.28999999999999,231.77441531721513,156.844539985858,342.2740114490241
198,262.71000000000004,160.48182324134552,108.1750953640651,237.84915465741082
199,289.28999999999996,221.7234628370144,149.19852919112574,329.2678206321731
200,366.2900000000001,217.08430194307329,146.03010457923338,322.4763580567776
201,362.7900000000001,227.48695808826386,152.71836681809106,338.6229812811407
202,357.79,182.0735570249915,121.92591590648792,271.6514342775287
203,296.2499999999999,248.41975854045262,166.08721481184028,371.32182019691726
204,345.5,242.17075197588798,161.58072486726536,362.7086417519393
205,356.66999999999985,254.44254806726943,169.5000477507628,381.7030914295291
206,354.7100000000001,261.78634728026026,174.15259765858966,393.2657159530569
207,297.70999999999987,266.77495909357066,177.26204547801441,401.2360930802111
208,349.9999999999999,254.38579329362153,168.96396745976958,382.73959134397353
209,348.1700000000001,271.07623027020804,180.0261224371968,407.9215085724927
210,333.0399999999999,280.1745987276049,186.62221460869043,420.37417008171127
211,292.70999999999987,283.79931176457393,189.50922349428959,424.7570656887708
212,341.62,271.5945654917831,182.55626599476577,403.82299382671556
213,195.79000000000005,284.6852085423653,192.45657002037265,420.88300129222733
214,319.3300000000001,232.9432434840823,157.86951103394588,343.4930422185192
215,333.7099999999999,267.6089304180228,181.85198308467076,393.5855893009613
216,330.0,285.8552883932744,194.6743442107584,419.52501471812496
