step,true_value,prediction,lower_bound,upper_bound
80,252.68000000000006,264.1640017435962,231.26479767399786,301.72322161951683
81,231.02999999999992,270.2776145809237,236.55742523597283,308.7842304849681
82,243.65999999999994,235.9657788659238,206.17768317714234,270.036819663254
83,254.97999999999993,268.830577328688,234.5966944917779,308.0388879122156
84,307.73999999999995,266.9102125228334,233.2996646072779,305.3422309815813
85,493.27000000000015,332.9498839090289,290.9174880117109,381.0344088408294
86,521.0299999999999,528.2464343105457,461.9542284426563,604.0312774389565
87,488.5199999999998,440.4236326668676,385.574936213922,503.05446712402824
88,529.5799999999999,456.2947289501185,401.27266192294445,518.8426065692207
89,410.3600000000002,507.8881992036368,448.07206764368425,575.6718038098901
90,388.1800000000002,345.68411777515814,304.49773387939524,392.42313931856665
91,399.3600000000002,395.12624844955474,348.18398236238437,448.37916008950947
92,448.7900000000002,380.96374278670146,336.1340285258697,431.75459745657264
93,467.37,447.5710051911875,395.8429970490014,506.041697080487
94,456.78999999999996,435.76006800842055,386.33760985978023,491.4885994824432
95,484.80999999999983,434.2515869639991,384.8041275675092,490.0365919336365
96,479.44000000000005,474.51670811395826,420.5034758205097,535.4514236931778
97,488.70000000000016,449.70718738327713,398.46464124190624,507.523027538574
98,594.1199999999998,472.3747385697272,418.0363902028008,533.7593869055332
99,706.6500000000002,599.6504574843938,529.7571607318592,678.747724135708
100,868.7399999999997,689.4911286267376,608.5496119435325,781.1807927857292
101,948.11,879.5697923348632,775.4163196797849,997.6950808716404
102,946.8400000000004,891.0716560415317,784.9584026704326,1011.5113960342397
103,963.6900000000005,904.8382061737457,797.0466638466631,1027.189068304568
104,958.3499999999999,932.531698855076,819.796603941815,1060.7507779418424
105,874.9899999999999,917.0612199166137,801.1098280199182,1049.7743130331667
106,783.8399999999999,805.2179405421339,702.3163498508118,923.1749716039956
107,786.6500000000001,736.122759776459,639.3433265123348,847.5291256798894
108,706.5000000000001,785.032001403575,682.5993953394515,902.8134197349735
109,707.7400000000002,647.8924701358244,563.8052440094999,744.498456795294
110,719.0099999999999,714.7851005813264,621.8893398226782,821.535043479911
111,738.7400000000001,700.5005018920173,609.1896058443266,805.4754781816112
112,897.4900000000001,737.3372492053985,641.8126898866074,847.0571434586304
113,1108.7800000000002,962.1691450504238,837.3455573224744,1105.578061843681
114,1218.2699999999998,1151.649274623502,1003.2335030901614,1321.9994281228453
115,1335.3099999999995,1200.264981116998,1041.9495768825525,1382.6120046870908
116,1445.4299999999998,1358.9680563449854,1178.716546724066,1566.7605941992065
117,1482.24,1444.9000669455775,1256.1812572568913,1661.9479572061648
118,1412.2400000000005,1456.8991338770832,1268.1222776313348,1673.7557914801441
119,1368.7899999999997,1349.6299258648623,1173.5815326754587,1552.0647689365271
120,1345.1399999999996,1355.2938669210046,1160.9207000766316,1582.1829601849847
121,1241.4599999999998,1308.9173670676441,1122.6457658420613,1526.068014410702
122,1112.4699999999998,1174.5208249501663,995.7951209440906,1385.2921084352158
123,1047.1599999999999,1052.069614429231,891.4302939685928,1241.624348735025
124,1014.3000000000004,1027.3264525715315,864.904338788514,1220.2149144994871
125,986.63,990.6506279299697,836.5142243612999,1173.1543477949115
126,1038.4899999999996,970.6908898254707,816.5087218696631,1153.9518189976545
127,1108.8099999999997,1072.889638975663,901.5112175802944,1276.8112163427807
128,1130.2199999999998,1114.6841232151467,935.7027389572988,1327.8645490456868
129,1189.6900000000005,1122.3779771535392,939.5740085451317,1340.7105598161168
130,1228.8600000000004,1217.2916368174506,1020.668359839135,1451.755679517217
131,1257.03,1210.34863315248,1011.7722081977571,1447.8603648115304
132,1347.58,1258.3510782440821,1059.7450906804077,1494.1425674355241
133,1379.6500000000003,1376.7760170355632,1157.4915995314614,1637.5675596492135
134,1626.4499999999998,1348.4736232264747,1133.3635752034945,1604.3751192225157
135,1829.5300000000007,1791.7492637896478,1501.000132416786,2138.780052913133
136,1959.3800000000008,1788.1199465117425,1504.5619244141099,2125.0833786374023
137,2026.039999999999,2013.1606281759023,1698.9625725009414,2385.430796606082
138,2048.6299999999997,1965.4559461318413,1656.0630906404863,2332.6160282120736
139,2040.0499999999995,2070.0468199049706,1741.5454956569565,2460.476581775794
140,2025.7700000000004,1990.8318034239285,1679.8265894454983,2359.382658177638
141,1886.9599999999994,2022.371693653449,1709.4693218993239,2392.5144338817886
142,1756.1999999999998,1774.929437927851,1503.6711746477627,2095.089445746878
143,1664.5,1719.27783048904,1459.1207773298986,2025.7883725918955
144,1584.8300000000004,1611.5691643305686,1371.5305312408439,1893.587588808608
145,1549.2199999999998,1550.4098720427776,1323.935866706667,1815.5955436427585
146,1467.0499999999995,1535.803754750192,1315.6143686016735,1792.8174130080552
147,1455.7499999999998,1420.7907796743368,1220.765425237168,1653.563944445022
148,1365.61,1473.4572015506615,1272.602263526889,1705.9882030393464
149,1356.9599999999998,1313.1810575084044,1138.5699252213801,1514.5470618254478
150,1451.77,1383.4433886089591,1205.305929883712,1587.8867399067053
151,1458.2300000000005,1487.5588426253107,1301.2392658757294,1700.5363351587462
152,1444.0999999999997,1439.0585166581632,1264.723808444204,1637.4052488897505
153,1461.2900000000002,1444.217356992624,1274.4872113048673,1636.5336345520716
154,1469.7,1465.4355518230864,1296.9607375608634,1655.7783334431122
155,1401.1200000000003,1465.0212711891647,1302.110399904357,1648.298760670499
156,1335.0800000000004,1364.7334780723768,1215.7354449311272,1531.9773952901087
157,1278.1200000000003,1317.585093364926,1174.7761558809977,1477.7395030488815
158,1280.4500000000005,1258.4929612817,1127.7377912460333,1404.395063247574
159,1258.3600000000001,1294.1363136755313,1161.9387979109754,1441.3614329611949
160,1237.3899999999996,1245.9107175179604,1122.5663357612077,1382.7957653010305
161,1135.2100000000003,1239.9578669898735,1120.0474480086903,1372.694244948782
162,1025.1900000000003,1098.3786414794229,995.7409173376851,1211.5853131116814
163,1009.4099999999999,1003.338195787592,910.6870777906641,1105.4050770164426
164,974.4799999999999,1027.795894097382,936.569821414678,1127.8983151298576
165,997.93,952.8034970899172,867.4660440498623,1046.5264027809515
166,1021.6500000000003,1039.8104097072508,950.2204583128525,1137.8383202736863
167,1147.1500000000005,1025.6049291007403,939.5827872169532,1119.4943305121753
168,1227.3000000000002,1217.5413819230005,1118.236742818677,1325.656856992917
169,1207.0000000000002,1240.3282894271888,1140.7674976483027,1348.570665924553
170,1177.42,1199.7356331833328,1104.381018072414,1303.315921138541
171,1128.16,1175.0423939051987,1083.5904860718545,1274.205462359773
172,1048.4000000000003,1113.6737766473914,1027.7327951826842,1206.7943214833676
173,959.2899999999997,1026.1414096165647,949.6909535614266,1108.7396808046267
174,930.0000000000001,935.8294474805895,866.725061338856,1010.4372083625402
175,938.0499999999996,936.8155845320139,869.6006712528496,1009.2198397406119
176,909.91,950.1169172834709,883.982188936573,1021.1938945797783
177,817.7399999999997,899.5940816765392,837.730216441547,966.0209610331051
178,763.1700000000001,783.38535156663,730.7353885060325,839.8235947265978
179,761.7799999999997,761.0219845067802,710.948733020228,814.6170211980042
180,767.53,771.6174531098483,722.1905817664108,824.4224320675106
181,693.8799999999998,774.6527403216163,725.3456491987974,827.3069833653915
182,674.4100000000002,656.8959994880432,615.5122856011519,701.0576171005708
183,735.1699999999997,690.0437677357813,646.9557812691788,735.9970339505013
184,820.4199999999996,770.9525704933533,724.1881816787085,820.7326014771036
185,801.0700000000002,863.6137486546999,811.8960421084467,918.6218158766759
186,789.3300000000004,776.4117014877319,731.1458220889988,824.476203477651
187,735.06,807.1537831017558,761.5914224537071,855.4383468151674
188,663.3800000000001,710.6247801044462,671.8675657342769,751.6144124751712
189,700.8399999999999,649.8774954703077,615.1957366549742,686.5112710280071
190,586.1299999999998,745.8773073054585,707.1822215497031,786.6866930479727
191,531.9999999999999,547.6958971425157,519.3547635714714,577.5806311729444
192,556.4300000000002,538.7547412619086,511.39817724462944,567.5718522289367
193,583.6199999999998,576.4321997256636,547.6284927014532,606.7481387053296
194,575.7499999999998,600.4805211614726,570.481209563447,632.0546154142819
195,627.6300000000002,577.5587761808841,548.6747699895864,607.9605631749549
196,648.5099999999998,664.3017868258955,630.7247646546602,699.6634729535992
197,519.6100000000002,653.6200187000043,620.2992168832579,688.7278432644704
198,402.0099999999999,473.98202323720284,449.2722608262261,500.04779269441985
199,440.0299999999999,377.5692712367901,357.50439920336953,398.75713950292675
200,468.7899999999999,497.56485179341536,470.7099606321525,525.948617134729
201,433.41999999999996,470.5122410744478,444.73817764416015,497.77664654637863
202,445.9899999999999,428.4286368664267,404.95890495626116,453.2552261067557
203,405.2499999999999,473.24357560553864,446.61760008572526,501.4533641216371
204,367.85000000000014,386.4323566648782,364.51256718347344,409.66667597110285
205,366.56000000000006,373.6472099644873,351.8427211259588,396.79914259324715
206,427.4399999999998,378.1271310804445,355.69966215655717,401.96472570865944
207,350.73999999999984,476.45695015355534,446.6166835153161,508.2865115295336
208,314.31999999999994,333.090689506111,312.46381052122234,355.07488031576753
209,317.44000000000005,323.17508915179906,302.8853230071553,344.8195591239608
210,333.6400000000001,329.0215455986321,307.90474310238574,351.5818977898006
211,293.04,349.2982071041166,326.2322928449525,373.9899890182899
212,305.10999999999996,286.91014841297385,268.19315869771197,306.9285296854953
213,234.50999999999993,320.2658149167266,299.2776201376861,342.72099987599086
214,217.25999999999996,233.2537367262178,218.5174152260338,248.97931537091208
215,217.48000000000002,220.55906985289025,207.22357932511866,234.74861979214958
216,236.25000000000003,221.34449811704377,208.58767221771762,234.87778479435244
217,247.44999999999996,243.62167240389078,229.93273657904447,258.12204348383625
218,311.1799999999999,253.40884802561592,239.47793823048036,268.1467767479272
219,362.2500000000001,328.56461246847454,310.1859746380475,348.0286923047467
220,311.57000000000005,375.6300964027873,353.01114856936994,399.69424392315915
221,271.49999999999994,304.2551243498815,284.89416284755686,324.9272243048452
222,276.35999999999996,272.8429067108499,253.98071616405718,293.10042721661335
223,252.95000000000005,287.34433251287345,265.43228495755386,311.05848084641923
224,313.6199999999999,254.21291476092432,233.6036295234312,276.63266916661894
225,289.1700000000001,335.56875011411785,306.46302988157106,367.42973803065775
226,351.22000000000014,291.1079972932863,264.56280766173404,320.3065972377489
227,388.77000000000004,360.2757180248868,326.2911248066119,397.78913463210654
228,338.2599999999999,391.63819310198585,353.45211824886366,433.9381559462201
229,248.54,340.86646640573287,304.66838590843753,381.351221914559
230,205.82000000000005,251.3903208963513,219.83389351849587,287.45605657370686
231,244.62000000000003,216.71467151372224,186.81223250281752,251.37801372504794
232,252.16999999999996,268.49282101249224,227.65576410991267,316.6232222265797
233,268.3799999999999,263.2391146842229,219.05238921565072,316.2985759344619
234,279.46,281.004279498751,229.5834766326098,343.8920747357783
235,253.01000000000008,286.37109378842973,228.96359751006122,358.10964361020393
236,268.66999999999996,260.0117867885607,203.14925416703565,332.7124748289072
237,261.72000000000014,280.76036590545783,213.97934763696352,368.2861880353355
238,267.8100000000001,267.59566874817745,200.92743317202792,356.27504746132934
239,260.4900000000001,275.29701096299493,201.63818402771793,375.7307658888374
240,232.71999999999997,265.8211238855628,189.8863900044041,371.9627457982327
241,229.12000000000003,244.31904600235342,171.10239083578705,348.6838947979951
242,221.77999999999997,246.26374886775724,170.00627617561034,356.5270035197531
243,246.43000000000012,236.66854210803834,161.49947536060074,346.60934324503023
244,256.55000000000007,262.23181682211276,177.72403694243607,386.69821101225324
245,280.88,259.46154901644826,175.56493661079668,383.22248391020213
246,316.47,280.8265667833678,189.96092453065694,414.9291433056974
247,279.23000000000013,303.81950118954313,205.35863720803965,449.25945878761576
248,258.42999999999995,266.3831264668609,179.86118787557618,394.29617801900986
249,232.39000000000004,263.3071900178079,177.7805871759114,389.7487485001516
250,208.45999999999992,242.9096476439946,163.9834422617296,359.5932534698826
251,283.12999999999994,223.84311970323773,152.05504926587017,329.30225869952824
252,272.2,291.46432364624496,197.1325898828096,430.70778041334603
253,399.7099999999999,264.01230952096915,178.2575385550845,390.79118916695575
254,389.77,348.8789710554541,235.66237714374446,516.2570979140907
255,362.95999999999987,334.17855035365653,226.36183330537253,493.12277770599746
256,349.50999999999993,330.22390897491005,227.74675307474934,478.61020824094044
257,320.54000000000013,323.09362992366624,227.13826990707526,459.40798415750953
258,336.2,305.11613195710095,218.36953637825457,426.1654478167833
259,354.3100000000001,323.21755798326325,235.58100031420727,443.3172730059597
260,387.99999999999983,333.06731957475444,246.605273278542,449.72131352516186
261,377.61999999999995,363.05379620852085,273.91694500949296,481.0916605531855
262,463.84000000000003,359.22435771431236,276.0045662199436,467.445663771684
263,549.0799999999998,436.2628438333715,341.70312086054366,556.9137829767592
264,555.3900000000002,524.7064982614493,417.64729383059336,659.1435776296881
265,571.9699999999999,532.4674661108473,429.77109715056775,659.6467780247938
266,575.1599999999997,551.578854791522,450.35094459582206,675.5099185427434
267,564.71,557.2445950544143,459.3687624664899,675.929134456969
268,552.2700000000001,547.529908492763,455.2130323104595,658.5275434970966
